gene,培養時間,glk,agp,yihX,pgm,ptsG,malx,crr,galM,yihR,yeaD,pgi,ascF,chbF,ascB,bglA,bglB,yggF,glpX,fbp,pfkB,pfkA,fbaB,fbaA,tpiA,gapA,pgk,gpmA,ytjc,gpmM,eno,pykF,pykA,ppsA
119,21 h 35 min,27.94526863,26.92842293,27.91283226,28.91835403,26.8960228,30.91945839,24.93307495,28.93315506,32.91857529,28.90688133,25.91598892,30.93655205,33.92276382,29.92438698,29.93699074,33.92560196,29.90588379,28.87471581,27.94360542,27.94892502,25.91080856,24.91760445,25.92657852,27.91987228,25.92027664,24.93315887,24.94203186,27.92319298,28.89517784,24.93298721,24.94065666,26.94131851,26.93212509
120,21 h 45 min,26.9297905,25.91753197,26.89273453,27.90042877,24.89713669,29.89217758,23.92210388,27.94025612,31.92358208,27.91350365,24.92734718,29.93249512,31.90623665,29.92169952,30.93762016,30.88543129,29.90598488,28.88236809,27.94537163,27.95742798,25.89697266,23.90242767,25.93409729,27.926157,24.93605614,24.92376137,24.94091415,27.93258095,28.90640259,24.93993759,24.93408775,25.9252758,26.93062782
121,21 h 55 min,27.95315361,25.92855072,25.91353035,27.91549301,25.8878727,29.90425682,24.94363022,27.93891716,31.92184639,27.91086578,24.90672493,30.91874504,31.914011,29.89821243,29.92663765,32.90563202,30.91417694,28.88888168,26.92969131,27.96840858,25.89154625,24.93551445,24.93188095,26.9153347,24.93517494,23.91802788,24.93767357,27.93470573,29.92390823,24.94584084,24.93808365,26.93159866,25.92977524
122,22 h 05 min,27.92358208,26.93262482,26.88477135,28.90747833,26.8932724,31.9300251,24.92547035,28.94132423,32.89673615,28.91462708,25.91396713,30.92777252,32.88274002,29.91775131,30.93032646,33.92432022,31.91512871,32.90159225,27.90763283,27.93213272,26.89252853,23.90535927,25.92583847,28.9344635,25.93203354,24.92518806,25.94657898,28.94074059,27.91143227,25.93915939,25.93856239,27.92294312,26.92093849
123,22 h 15 min,28.92536545,27.93922234,27.90945625,28.89125824,27.89879608,31.91065025,25.92658615,30.92692947,31.91318512,29.90761757,26.90215492,30.903862,33.9249649,30.90942574,31.92720795,32.90807724,32.9289093,29.90991783,28.92080688,30.96009445,27.93366432,25.90206528,27.95289993,28.91170311,26.9194622,26.91076469,26.92694283,29.91744995,29.90668488,26.92964172,26.92346382,29.9278698,28.93499184
130,15 h 40 min,25.92927361,24.93183899,24.91597366,26.9344635,24.90103912,28.94201469,22.93449402,25.9400959,29.9259491,26.91986275,24.92178154,29.93337059,30.93463135,28.9428978,27.928339,29.92632675,29.9262886,27.89206505,25.94938469,26.97219276,24.86766052,21.90868378,23.92732239,25.92363548,23.9233532,23.92347527,23.92787552,26.9354229,27.90169716,23.92048073,23.93791771,24.93449402,24.91784668
131,15 h 50 min,26.94222832,25.93146324,25.90266418,26.9354248,25.91060066,28.92280006,23.9305706,26.93446922,29.93665314,27.91643524,24.92091751,29.93984413,29.93483734,28.92977333,28.92575455,29.95740509,29.94452858,27.90982246,26.95656013,27.96101952,24.91997337,22.90228653,24.94281006,26.92460823,24.94179344,23.92003441,24.93996048,27.94190979,27.90385628,23.96597099,24.9450779,25.93411636,25.93006897
132,16 h,25.91335869,24.93565559,25.91162109,26.92967796,24.89729691,29.94163132,22.92336655,25.93590927,30.93335342,26.93916702,23.9216671,29.92972565,30.92682266,28.91004562,28.92247009,31.92085648,30.9380188,27.89927673,25.9132843,26.96636581,24.86460495,21.91180992,22.93192673,25.90783501,22.92526436,23.94423866,23.94399261,26.93211937,26.91598511,22.93117332,23.94557381,24.92875099,24.93504333
133,16 h 15min,25.92274857,24.94570923,24.92800903,26.94090843,24.89996147,29.94534683,22.9296627,25.92476654,30.9273777,27.92353058,23.90492058,29.93682861,30.92491531,28.91631889,27.94073868,31.92379951,29.92804718,27.89795303,25.93601418,25.9595623,23.90688133,21.90781021,22.93367386,25.9180851,23.92779922,22.93483543,22.93653488,26.92519569,26.90537453,22.93345642,22.93730164,24.93411064,24.93223
134,16 h 25 min,25.93396378,24.93404961,25.91921043,26.92905426,24.91739273,27.92739868,22.92578888,25.93795395,28.93289185,26.92214966,23.9119072,28.94156265,28.93418312,27.92311478,27.93512535,28.9379673,28.93679237,26.9152298,25.93238449,25.94355583,24.90764809,22.91918945,24.94776344,25.93103409,23.93244743,23.93186951,23.93013954,26.92339897,26.91882324,22.93402672,23.93651581,25.93348694,24.93379402
135,16 h 35 min,25.93432426,24.92782402,25.92271996,27.93857384,25.90698433,27.92798615,23.9407177,26.93249321,28.93966293,26.90970993,24.91784668,28.94506836,28.9330101,27.92425537,27.93509483,28.93395042,28.93822479,27.89975929,25.92895889,26.94838142,24.93306541,22.91131783,24.93708229,26.91298676,23.93366051,23.91802025,24.9355545,26.91877556,27.90254021,23.93041992,23.92985344,25.94245338,25.95592308
136,16 h 45 min,26.942873,25.95491409,25.92537498,26.92055893,25.9197197,28.93437576,23.93435669,26.93649864,29.94213676,27.91449547,24.90670395,29.94673729,29.93307304,28.9422493,28.93853951,29.94130898,28.93666649,27.90145683,26.93452644,26.95034599,25.88776016,22.90319633,24.93774223,26.91832733,23.9276886,23.91559219,24.93316841,26.92479515,27.90577126,23.93227577,23.93070602,25.93956184,25.93739319
137,16 h 55 min,25.93068504,24.92341614,25.92200279,26.93450737,24.88794899,28.93233299,22.93279648,25.9412899,29.94392395,26.91938019,24.91878128,29.95075035,29.93411064,27.91041756,27.93146324,28.92811203,28.92700768,27.88798332,25.92813301,26.96969604,24.89074898,22.91679001,23.94103241,26.93608093,23.9367981,23.93802834,23.93951797,26.93587112,27.90828896,23.94746208,23.93086624,25.93867493,24.9117527
138,15 h 30 min,28.94332314,26.93100357,26.90920258,28.91711044,26.89949989,31.92814636,24.92882538,29.94311142,31.91093636,28.91727257,25.91718674,31.92932892,31.92273331,30.93720245,30.92564964,31.92086792,31.91830635,29.88594818,27.92921829,28.95718575,26.87810516,24.91287231,25.9363308,28.92461205,25.93217278,25.92908859,25.93498611,29.94223022,29.90093422,24.93035507,25.9354763,26.93000603,27.94811058
139,15 h 45 min,25.92406464,24.93766785,25.91741371,26.92027092,24.92645645,29.93711662,22.94767952,26.93231773,31.92020035,27.93579292,24.92727661,30.93843842,31.92572594,28.92486382,28.94158173,31.92332077,30.93327332,27.90301132,25.92204475,26.94593239,24.90230942,22.90992165,23.93379974,26.90862083,23.93405533,23.93147659,23.93364716,26.92125893,27.91113091,24.93408966,23.93680573,24.93768501,24.93800926
140,15 h 55 min,26.92743301,24.93961143,25.91932106,26.93062019,25.90594482,29.93279266,22.93652344,26.92905235,31.92751122,27.91813087,24.92372322,30.9410553,31.92887688,28.91386032,28.93268967,32.9250412,30.93366623,27.89901543,26.95004463,26.96580315,24.92189217,22.91500092,24.95262337,26.92842102,23.92536545,23.91719437,23.92159653,27.93665314,27.92748833,24.93735123,23.93388939,24.94338036,25.93603706
141,16 h 05 min,26.93729782,25.93473434,25.91067696,27.92230225,25.90492058,29.92098427,23.91562271,27.94762993,32.92805481,27.91520309,24.9227829,30.93959999,32.93340683,29.92170334,29.93253708,32.93536377,30.92875099,28.89384842,27.94706535,27.96240044,25.89502716,23.91971207,24.93508148,27.91699409,24.93575668,23.92279243,24.94307137,27.92708397,27.92532539,25.93257904,24.9485054,25.93468285,26.9475193
